FECHA,CCAA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos,TotalPositivos
2020-02-20,Andalucía,0,0,,,,,0
2020-02-20,Aragón,,0,,,,,0
2020-02-20,Asturias,,0,,,,,0
2020-02-20,Baleares,,1,,,,,1
2020-02-20,Canarias,,1,,,,,1
2020-02-20,Cantabria,,0,,,,,0
2020-02-20,Castilla La Mancha,,0,,,,,0
2020-02-20,Castilla y León,,0,,,,,0
2020-02-20,Cataluña,,0,,,,,0
2020-02-20,Ceuta,,0,,,,,0
2020-02-20,C. Valenciana,,0,,26,0,,0
2020-02-20,Extremadura,,0,,,,,0
2020-02-20,Galicia,,0,,,,,0
2020-02-20,Madrid,,1,,,,,1
2020-02-20,Melilla,,0,,,,,0
2020-02-20,Murcia,,0,,,,,0
2020-02-20,Navarra,,0,,,,,0
2020-02-20,País Vasco,,0,,,,,0
2020-02-20,La Rioja,,0,,,,,0
2020-02-21,Andalucía,,0,,,,,0
2020-02-21,Aragón,,0,,,,,0
2020-02-21,Asturias,,0,,,,,0
2020-02-21,Baleares,,1,,,,,1
2020-02-21,Canarias,,1,,,,,1
2020-02-21,Cantabria,,0,,,,,0
2020-02-21,Castilla La Mancha,,0,,,,,0
2020-02-21,Castilla y León,,0,,,,,0
2020-02-21,Cataluña,,0,,,,,0
2020-02-21,Ceuta,,0,,,,,0
2020-02-21,C. Valenciana,,0,,30,1,,0
2020-02-21,Extremadura,,0,,,,,0
2020-02-21,Galicia,,0,,,,,0
2020-02-21,Madrid,,1,,,,,1
2020-02-21,Melilla,,0,,,,,0
2020-02-21,Murcia,,0,,,,,0
2020-02-21,Navarra,,0,,,,,0
2020-02-21,País Vasco,,0,,,,,0
2020-02-21,La Rioja,,0,,,,,0
2020-02-22,Andalucía,,0,,,,,0
2020-02-22,Aragón,,0,,,,,0
2020-02-22,Asturias,,0,,,,,0
2020-02-22,Baleares,,1,,,,,1
2020-02-22,Canarias,,1,,,,,1
2020-02-22,Cantabria,,0,,,,,0
2020-02-22,Castilla La Mancha,,0,,,,,0
2020-02-22,Castilla y León,,0,,,,,0
2020-02-22,Cataluña,,0,,,,,0
2020-02-22,Ceuta,,0,,,,,0
2020-02-22,C. Valenciana,,0,,33,1,,0
2020-02-22,Extremadura,,0,,,,,0
2020-02-22,Galicia,,0,,,,,0
2020-02-22,Madrid,,1,,,,,1
2020-02-22,Melilla,,0,,,,,0
2020-02-22,Murcia,,0,,,,,0
2020-02-22,Navarra,,0,,,,,0
2020-02-22,País Vasco,,0,,,,,0
2020-02-22,La Rioja,,0,,,,,0
2020-02-23,Andalucía,,0,,,,,0
2020-02-23,Aragón,,0,,,,,0
2020-02-23,Asturias,,0,,,,,0
2020-02-23,Baleares,,1,,,,,1
2020-02-23,Canarias,,1,,,,,1
2020-02-23,Cantabria,,0,,,,,0
2020-02-23,Castilla La Mancha,,0,,,,,0
2020-02-23,Castilla y León,,0,,,,,0
2020-02-23,Cataluña,,0,,,,,0
2020-02-23,Ceuta,,0,,,,,0
2020-02-23,C. Valenciana,,0,,38,2,,0
2020-02-23,Extremadura,,0,,,,,0
2020-02-23,Galicia,,0,,,,,0
2020-02-23,Madrid,,1,,,,,1
2020-02-23,Melilla,,0,,,,,0
2020-02-23,Murcia,,0,,,,,0
2020-02-23,Navarra,,0,,,,,0
2020-02-23,País Vasco,,0,,,,,0
2020-02-23,La Rioja,,0,,,,,0
2020-02-24,Andalucía,,0,,,,,0
2020-02-24,Aragón,,0,,,,,0
2020-02-24,Asturias,,0,,,,,0
2020-02-24,Baleares,,1,,,,,1
2020-02-24,Canarias,,2,,,,,2
2020-02-24,Cantabria,,0,,,,,0
2020-02-24,Castilla La Mancha,,0,,,,,0
2020-02-24,Castilla y León,,0,,,,,0
2020-02-24,Cataluña,,0,,,,,0
2020-02-24,Ceuta,,0,,,,,0
2020-02-24,C. Valenciana,,0,,49,2,,0
2020-02-24,Extremadura,,0,,,,,0
2020-02-24,Galicia,,0,,,,,0
2020-02-24,Madrid,,1,,,,,1
2020-02-24,Melilla,,0,,,,,0
2020-02-24,Murcia,,0,,,,,0
